,ProductName,Price(₹),Original_cost(₹),Rating,Discount(%),Delivery_offers,Type_models,Capacity (L/hr)
159,LIVPURE LIV-ENVY-ALKALINE,16490,20889,4.2,21.0,Free delivery,Electrical & Storage,15
162,HAVELLS Delite,10936,22999,4.4,52.0,Free delivery,Electrical & Storage,5
164,Aqua Ace,4769,14199,3.9,66.0,Free delivery,Electrical & Storage,5
165,Grand plus,3799,10500,4.1,63.0,Free delivery,Electrical & Storage,12
167,MarQ by,4369,16500,3.8,73.0,Free delivery,Electrical & Storage,10
168,Keel EPIC,3999,16500,4.0,75.0,Free delivery,Electrical & Storage,15
169,V-Guard Requpro,13999,24999,4.2,44.0,Free delivery,Electrical & Storage,20
172,Pureit VITAL,15550,23999,4.6,35.0,Free delivery,Electrical & Storage,5
173,KENT Pride,14202,22500,4.3,36.0,Delivery charges,Electrical & Storage,15
174,Home-pro Stainless,1131,2938,3.5,61.0,Free delivery,Non - Electrical & Storage,1
175,Aqua Frisch,4299,20000,4.8,78.0,Free delivery,Electrical & Storage,15
178,Aquafresh ALFA,4999,13999,3.6,64.0,Free delivery,Electrical & Storage,12
179,Aqua Fresh,4380,16500,4.0,73.0,Free delivery,Electrical & Storage,20
182,Aquamart RO,4499,24999,4.8,82.0,Free delivery,Electrical & Storage,12
183,KENT PEARL(11002),18500,20000,4.4,7.0,Delivery charges,Electrical & Storage,5
184,Blair AQUA,5701,17590,3.8,67.0,Free delivery,Electrical & Storage,15
185,KENT GRAND,19500,24500,4.3,20.0,Free delivery,Electrical & Storage,5
188,KENT GOLD,499,770,3.9,35.0,Delivery charges,Non - Electrical & Storage,5
189,AQUA Epic,3789,14500,3.6,73.0,Free delivery,Electrical & Storage,15
195,Grand plus,3999,16500,3.8,75.0,Free delivery,Electrical & Storage,5
198,Aqua Fresh,4332,16500,4.0,73.0,Free delivery,Electrical & Storage,10
199,Apeiron Water,1479,2285,3.6,35.0,Free delivery,Non - Electrical & Storage,5
200,Royal Aquafresh,3799,16500,4.1,76.0,Free delivery,Electrical & Storage,10
205,Aquatec Plus,7878,15999,4.2,50.0,Free delivery,Electrical & Storage,15
208,AQUA AQU-SS-GR-AM-,4070,12275,3.8,66.0,Free delivery,Electrical & Storage,15
209,Pureit Revito,19390,28499,4.3,31.0,Free delivery,Electrical & Storage,5
210,proven RO,4968,19990,4.2,75.0,Free delivery,Electrical & Storage,5
211,Eureka Forbes,5993,16000,4.1,62.0,Free delivery,Electrical & Storage,15
214,R.K. AQUA,4163,12999,4.1,67.0,Free delivery,Electrical & Storage,5
215,LIVPURE Glitz+,9300,11000,4.1,15.0,Free delivery,Electrical & Storage,12
218,AQUA SKYLAND,3530,14500,3.7,75.0,Free delivery,Electrical & Storage,18
219,Pureit by,12999,20500,4.3,36.0,Free delivery,Electrical & Storage,15
220,Royal Aquafresh,4499,16500,3.6,72.0,Free delivery,Electrical & Storage,10
221,Apeiron Water,1851,2196,3.6,15.0,Free delivery,Non - Electrical & Storage,5
224,EUREKA FORBES,17350,23000,3.8,24.0,Free delivery,Electrical & Storage,5
225,Eureka Forbes,8019,11000,3.4,27.0,Delivery charges,Electrical & Storage,60
228,Pureit Ultima,20899,22990,3.7,9.0,Free delivery,Electrical & Storage,5
229,EUREKA FORBES,6999,7999,4.2,12.0,Free delivery,Electrical & Non - Storage,5
230,Aqua Ace,4999,18499,3.9,72.0,Free delivery,Electrical & Storage,12
231,AQUA Epic,4098,14500,4.4,71.0,Free delivery,Electrical & Storage,15
234,Eureka Forbes,8000,11500,4.0,30.0,Free delivery,Electrical & Storage,36
235,AO Smith,10265,18350,4.1,44.0,Free delivery,Electrical & Storage,36
238,LIVPURE Rental,6186,15999,3.7,61.0,Free delivery,Electrical & Storage,5
